№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Chelsea,38,30,3,5,85,33,93,61.80-23.20,28.62-4.38,75.74-17.26
2,Tottenham,38,26,8,4,86,26,86,70.07-15.93,33.78+7.78,75.37-10.63
3,Manchester City,38,23,9,6,80,39,78,79.85-0.15,29.61-9.39,85.41+7.41
4,Liverpool,38,22,10,6,78,42,76,66.63-11.37,37.65-4.35,69.83-6.17
5,Arsenal,38,23,6,9,77,44,75,63.58-13.42,47.07+3.07,62.12-12.88
6,Manchester United,38,18,15,5,54,29,69,57.57+3.57,31.62+2.62,70.89+1.89
7,Everton,38,17,10,11,62,44,61,49.63-12.37,45.78+1.78,55.78-5.22
8,Southampton,38,12,10,16,41,48,46,49.98+8.98,43.08-4.92,55.69+9.69
9,Bournemouth,38,12,10,16,55,67,46,50.02-4.98,62.99-4.01,43.17-2.83
10,West Bromwich Albion,38,12,9,17,43,51,45,38.21-4.79,47.90-3.10,45.59+0.59
11,West Ham,38,12,9,17,47,64,45,48.25+1.25,59.67-4.33,46.04+1.04
12,Leicester,38,12,8,18,48,63,44,44.34-3.66,51.30-11.70,48.12+4.12
13,Stoke,38,11,11,16,41,56,44,47.87+6.87,48.67-7.33,52.29+8.29
14,Crystal Palace,38,12,5,21,50,63,41,45.40-4.60,50.03-12.97,48.45+7.45
15,Swansea,38,12,5,21,45,70,41,39.50-5.50,65.13-4.87,36.49-4.51
16,Burnley,38,11,7,20,39,55,40,35.59-3.41,55.27+0.27,38.36-1.64
17,Watford,38,11,7,20,40,68,40,36.25-3.75,52.62-15.38,40.62+0.62
18,Hull,38,9,7,22,37,80,34,33.84-3.16,71.77-8.23,30.73-3.27
19,Middlesbrough,38,5,13,20,27,53,28,30.93+3.93,55.30+2.30,37.25+9.25
20,Sunderland,38,6,6,26,29,69,24,34.22+5.22,65.66-3.34,32.24+8.24
