№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Real Madrid,38,26,9,3,70,25,87,72.16+2.16,33.15+8.15,77.69-9.31
2,Barcelona,38,25,7,6,86,38,82,72.01-13.99,37.82-0.18,73.14-8.86
3,Atletico Madrid,38,18,16,4,51,27,70,58.70+7.70,31.52+4.52,72.35+2.35
4,Sevilla,38,19,13,6,54,34,70,55.16+1.16,36.62+2.62,65.71-4.29
5,Villarreal,38,18,6,14,63,49,60,65.61+2.61,48.59-0.41,64.05+4.05
6,Real Sociedad,38,16,8,14,56,48,56,50.92-5.08,41.89-6.11,57.18+1.18
7,Granada,38,16,8,14,52,45,56,45.02-6.98,43.44-1.56,52.60-3.40
8,Getafe,38,14,12,12,43,37,54,45.19+2.19,43.02+6.02,53.79-0.21
9,Valencia,38,14,11,13,46,53,53,45.58-0.42,59.07+6.07,45.43-7.57
10,Osasuna,38,13,13,12,46,54,52,49.04+3.04,49.58-4.42,51.51-0.49
11,Athletic Club,38,13,12,13,41,38,51,42.10+1.10,52.42+14.42,44.65-6.35
12,Levante,38,14,7,17,47,53,49,49.43+2.43,64.25+11.25,42.88-6.12
13,Real Valladolid,38,9,15,14,32,43,42,35.66+3.66,53.94+10.94,39.38-2.62
14,Eibar,38,11,9,18,39,56,42,42.35+3.35,54.33-1.67,42.91+0.91
15,Real Betis,38,10,11,17,48,60,41,48.90+0.90,56.30-3.70,47.94+6.94
16,Alaves,38,10,9,19,34,59,39,38.15+4.15,57.93-1.07,40.98+1.98
17,Celta Vigo,38,7,16,15,37,49,37,40.44+3.44,44.83-4.17,47.26+10.26
18,Leganes,38,8,12,18,30,51,36,38.92+8.92,45.62-5.38,48.92+12.92
19,Mallorca,38,9,6,23,40,65,33,40.46+0.46,65.17+0.17,35.36+2.36
20,Espanyol,38,5,10,23,27,58,25,37.00+10.00,53.28-4.72,41.76+16.76
