№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Bayer Leverkusen,31,25,6,0,77,22,81,71.90-5.10,29.43+7.43,68.54-12.46
2,Bayern Munich,31,22,3,6,89,38,69,90.41+1.41,30.64-7.36,73.27+4.27
3,VfB Stuttgart,31,20,4,7,70,38,64,73.05+3.05,38.36+0.36,64.11+0.11
4,RasenBallsport Leipzig,31,19,5,7,73,35,62,68.19-4.81,37.79+2.79,60.75-1.25
5,Borussia Dortmund,31,16,9,6,59,39,57,64.04+5.04,49.36+10.36,51.84-5.16
6,Eintracht Frankfurt,31,11,12,8,47,42,45,45.11-1.89,50.03+8.03,40.92-4.08
7,Freiburg,31,11,7,13,43,55,40,48.54+5.54,54.54-0.46,40.09+0.09
8,Augsburg,31,10,9,12,48,52,39,44.79-3.21,54.40+2.40,37.18-1.82
9,Hoffenheim,31,11,6,14,55,63,39,48.33-6.67,63.23+0.23,35.80-3.20
10,FC Heidenheim,31,9,10,12,44,52,37,39.06-4.94,59.29+7.29,31.44-5.56
11,Werder Bremen,31,10,7,14,41,50,37,40.95-0.05,55.06+5.06,34.56-2.44
12,Wolfsburg,31,9,7,15,37,51,34,39.18+2.18,46.75-4.25,38.33+4.33
13,Borussia M.Gladbach,31,7,11,13,53,60,32,47.55-5.45,56.74-3.26,38.01+6.01
14,Union Berlin,31,8,6,17,26,50,30,39.30+13.30,50.73+0.73,35.51+5.51
15,Bochum,31,6,12,13,37,62,30,47.23+10.23,60.28-1.72,36.84+6.84
16,Mainz 05,31,5,13,13,32,49,28,44.02+12.02,47.17-1.83,42.28+14.28
17,FC Cologne,31,4,11,16,24,54,23,37.52+13.52,67.56+13.56,26.76+3.76
18,Darmstadt,31,3,8,20,30,73,17,33.44+3.44,71.23-1.77,24.48+7.48
